message,is_otp,split
Whom you waited for yesterday,0,train
874007 is your OTP to log in.,1,train
Use 594458 to verify your account.,1,train
Win a new iPhone by entering code 418149 here!,1,train
"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",0,val
What time should I tell my friend to be around?,0,val
408095 is your OTP to log in.,1,train
Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,0,train
Your verification code is 816106.,1,train
954239 is your OTP to log in.,1,train
Your verification code is 762319.,1,train
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,0,train
Match started.india  &lt;#&gt;  for 2,0,train
Security code: 691267. Do not share.,1,train
Security code: 194420. Do not share.,1,val
Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),0,train
"Haha, just what I was thinkin",0,train
Use 786676 to verify your account.,1,train
"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",0,train
947562 is your OTP to log in.,1,train
I have printed it oh. So  &lt;#&gt;  come upstairs,0,train
Use 667646 to verify your account.,1,train
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0,val
Thanks for ve lovely wisheds. You rock,0,train
My drive can only be read. I need to write,0,train
Get a loan approved instantly. Reply with 661829.,1,train
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,0,train
690740 is your OTP to log in.,1,train
I'll be at mu in like  &lt;#&gt;  seconds,0,val
898340 is your OTP to log in.,1,train
566660 is your OTP to log in.,1,val
Security code: 947964. Do not share.,1,train
Enter 387243 to complete your login.,1,train
Your verification code is 152644.,1,val
Security code: 210250. Do not share.,1,train
I dont thnk its a wrong calling between us,0,train
761366 is your OTP to log in.,1,train
Use 974500 to verify your account.,1,train
"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",0,train
Your verification code is 333232.,1,train
299813 is your OTP to log in.,1,val
903015 is your OTP to log in.,1,train
Your verification code is 722997.,1,train
Your verification code is 648870.,1,train
MMM ... Fuck .... Merry Christmas to me,0,train
985236 is your OTP to log in.,1,train
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,0,train
No break time one... How... I come out n get my stuff fr ü?,0,train
Enter 194945 to complete your login.,1,train
Use 937449 to verify your account.,1,train
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,0,train
Hi..i got the money da:),0,train
545582 is your OTP to log in.,1,train
Use 311562 to verify your account.,1,train
Your verification code is 956404.,1,train
Ok...,0,train
Win a new iPhone by entering code 244981 here!,1,train
Cramps stopped. Going back to sleep,0,train
Use 748931 to verify your account.,1,train
There bold 2  &lt;#&gt; . Is that yours,0,train
Dear good morning how you feeling dear,0,train
Security code: 155927. Do not share.,1,train
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0,train
Your verification code is 483197.,1,train
Enter 283229 to complete your login.,1,train
For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,0,train
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",0,train
Enter 221985 to complete your login.,1,train
Security code: 567246. Do not share.,1,train
705376 is your OTP to log in.,1,train
Use 607053 to verify your account.,1,train
Just sleeping..and surfing,0,train
Security code: 733373. Do not share.,1,train
890137 is your OTP to log in.,1,val
Security code: 576007. Do not share.,1,train
Use 537454 to verify your account.,1,train
Use 559874 to verify your account.,1,train
Security code: 294911. Do not share.,1,train
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,train
Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,0,train
Use 494236 to verify your account.,1,train
Use 383540 to verify your account.,1,train
Your verification code is 485004.,1,train
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,0,train
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,0,train
342806 is your OTP to log in.,1,train
Use 873444 to verify your account.,1,train
Use 259569 to verify your account.,1,train
Enter 817287 to complete your login.,1,train
329827 is your OTP to log in.,1,train
Security code: 519992. Do not share.,1,train
PRIVATE! Your 2003 Account Statement for 078,0,train
871437 is your OTP to log in.,1,train
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,0,train
Pls send me the correct name da.,0,train
116994 is your OTP to log in.,1,train
My friends use to call the same.,0,train
Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,0,train
258229 is your OTP to log in.,1,train
Dear i am not denying your words please,0,train
Your account will be locked. Enter 365153 at our fake portal.,1,train
Use 528589 to verify your account.,1,train
Urgent: Your bank account is compromised. Call 535727 now.,1,train
Do you still have the grinder?,0,train
284241 is your OTP to log in.,1,train
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,0,val
Your account will be locked. Enter 199077 at our fake portal.,1,train
Not tonight mate. Catching up on some sleep. This is my new number by the way.,0,train
"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8",0,train
Use 100919 to verify your account.,1,train
Enter 998917 to complete your login.,1,train
Your verification code is 108402.,1,train
I can make lasagna for you... vodka...,0,train
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,0,train
Your verification code is 273754.,1,train
Even if he my friend he is a priest call him now,0,train
264553 is your OTP to log in.,1,train
Urgent: Your bank account is compromised. Call 240077 now.,1,train
Get a loan approved instantly. Reply with 414362.,1,train
Your verification code is 342374.,1,val
708127 is your OTP to log in.,1,train
"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard",0,train
994120 is your OTP to log in.,1,train
Enter 640692 to complete your login.,1,train
"Well, I meant as opposed to my drunken night of before",0,train
Security code: 102267. Do not share.,1,train
Security code: 323592. Do not share.,1,train
658017 is your OTP to log in.,1,train
738185 is your OTP to log in.,1,val
Hey you told your name to gautham ah?,0,train
Your verification code is 491525.,1,train
Win a new iPhone by entering code 176247 here!,1,train
Use 893172 to verify your account.,1,train
"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",0,train
Enter 415327 to complete your login.,1,train
"Sorry, I'll call later In meeting.",0,train
Dad says hurry the hell up,0,train
Is she replying. Has boye changed his phone number,0,train
Security code: 891777. Do not share.,1,val
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS",0,train
Enter 780180 to complete your login.,1,train
Get a loan approved instantly. Reply with 329249.,1,train
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",0,train
Security code: 906423. Do not share.,1,train
Security code: 160504. Do not share.,1,train
Use 473734 to verify your account.,1,train
Use 980103 to verify your account.,1,train
Security code: 880598. Do not share.,1,train
Use 942680 to verify your account.,1,train
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",0,val
391105 is your OTP to log in.,1,train
103114 is your OTP to log in.,1,train
Your verification code is 441140.,1,train
Sat right? Okay thanks...,0,train
